epic,instrumentName,instrumentType,expiry,high,low,percentageChange,netChange,updateTime,updateTimeUTC,bid,offer,delayTime,streamingPricesAvailable,marketStatus,scalingFactor
CS.D.IN_GOLD.MFI.IP,Spot Gold,CURRENCIES,-,4019.84,3921.85,-1.46,-58.04,15:32:56,07:32:56,3924.18,3924.38,0,True,TRADEABLE,1
CS.D.CFDGOLD.BMU.IP,Spot Gold ($1),CURRENCIES,-,4019.89,3921.8,-1.46,-58.04,15:32:56,07:32:56,3924.28,3924.38,0,True,TRADEABLE,1
MT.D.GC.FWS2.IP,Gold ($100),COMMODITIES,DEC-25,4034.3,3936.8,-2.01,-80.7,15:32:56,07:32:56,3939.25,3939.85,0,True,TRADEABLE,1
MT.D.GC.FWM2.IP,Gold ($33.20),COMMODITIES,DEC-25,4034.3,3936.8,-2.01,-80.7,15:32:56,07:32:56,3939.25,3939.85,0,True,TRADEABLE,1
IX.D.SUNGOLD.BMU.IP,Weekend Spot Gold ($1),CURRENCIES,-,4021.7,3920.0,-1.62,-64.8,15:32:56,07:32:56,3923.3,3927.3,0,True,EDITS_ONLY,1
AB.D.BEZAU.CASH.IP,Besra Gold Inc,SHARES,-,0.071,0.052,-21.62,-0.016,13:00:26,05:00:26,,,20,False,EDITS_ONLY,100
UA.D.BGLUS.CASH.IP,Blue Gold Ltd,SHARES,-,,,0.0,0.0,03:59:27,19:59:27,,,0,False,EDITS_ONLY,100
KC.D.GDP.CASH.IP,Goldplat PLC,SHARES,-,,,0.0,0.0,22:12:14,14:12:14,,,0,False,EDITS_ONLY,1
KC.D.PPHPLN.CASH.IP,IMARA GOLD PLC,SHARES,-,0.29,0.26,3.64,0.01,16:00:00,08:00:00,,,0,False,CLOSED,1
KA.D.OXS.CASH.IP,Oxus Gold PLC,SHARES,-,,,0.0,0.0,15:30:00,07:30:00,,,0,False,OFFLINE,1
UC.D.RGLD.CASH.IP,Royal Gold Inc,SHARES,-,,,0.0,0.0,03:59:59,19:59:59,,,0,False,EDITS_ONLY,100
AB.D.TAMAU.CASH.IP,Tanami Gold NL,SHARES,-,,0.067,-4.29,-0.003,07:43:33,23:43:33,,,0,False,EDITS_ONLY,100
AB.D.BYRAU.CASH.IP,Amani Gold Limited,SHARES,-,,,0.0,0.0,13:00:02,05:00:02,,,0,False,CLOSED,100
AB.D.MNMAU.CASH.IP,Austar Gold Limited,SHARES,-,,,0.0,0.0,10:22:47,02:22:47,,,20,False,CLOSED,100
AB.D.SPIAU.CASH.IP,Bardoc Gold Limited,SHARES,-,,,0.0,0.0,10:22:51,02:22:51,,,20,False,CLOSED,100
KC.D.CONDOR.CASH.IP,Condor Gold PLC,SHARES,-,,,0.0,0.0,16:00:00,08:00:00,,,0,False,CLOSED,1
KC.D.CORALN.CASH.IP,Cora Gold Limited,SHARES,-,,,2.78,0.25,16:00:00,08:00:00,,,0,False,EDITS_ONLY,1
AB.D.DGOAU.CASH.IP,DGO Gold Limited,SHARES,-,,,0.0,0.0,10:22:37,02:22:37,,,20,False,CLOSED,100
AB.D.DCNAU.CASH.IP,Dacian Gold Limited,SHARES,-,0.29,0.28,-1.75,-0.005,13:00:01,05:00:01,,,0,False,CLOSED,100
AB.D.FXGAU.CASH.IP,Felix Gold Limited,SHARES,-,0.525,0.425,-7.44,-0.036,12:59:23,04:59:23,,,0,False,EDITS_ONLY,100
AB.D.FG1AU.CASH.IP,Flynn Gold Limited,SHARES,-,0.022,0.021,0.0,0.0,12:59:09,04:59:09,,,0,False,EDITS_ONLY,100
AB.D.GBMAU.CASH.IP,GBM Gold Limited,SHARES,-,,,0.0,0.0,10:22:38,02:22:38,,,20,False,CLOSED,100
KC.D.GALLN.CASH.IP,Galantas Gold Corp,SHARES,-,,,0.0,0.0,16:00:00,08:00:00,,,0,False,EDITS_ONLY,1
AR.D.GFISJ.CASH.IP,Gold Fields Ltd,SHARES,-,62199.0,60576.0,-3.69,-2326.0,15:32:54,07:32:54,,,0,False,TRADEABLE,1
AF.D.GGP.CASH.IP,Goldoz Limited,SHARES,-,,,0.0,0.0,10:22:33,02:22:33,,,20,False,CLOSED,100
AB.D.ICLAU.CASH.IP,Iceni Gold Limited,SHARES,-,0.062,0.059,-4.84,-0.003,12:59:59,04:59:59,,,0,False,EDITS_ONLY,100
AB.D.KGDAU.CASH.IP,Kula Gold Limited,SHARES,-,0.037,0.033,-5.41,-0.002,11:04:31,03:04:31,,,0,False,EDITS_ONLY,100
KC.D.TNZ.CASH.IP,Lexington Gold Ltd,SHARES,-,,,0.0,0.0,17:18:09,09:18:09,,,0,False,EDITS_ONLY,1
AB.D.MKGAU.CASH.IP,Mako Gold Limited,SHARES,-,,,0.0,0.0,10:22:45,02:22:45,,,20,False,CLOSED,100
AB.D.GPXAU.CASH.IP,Marvel Gold Limited,SHARES,-,0.018,0.016,0.0,0.0,12:07:05,04:07:05,,,0,False,EDITS_ONLY,100
AB.D.OREAU2.CASH.IP,Orezone Gold Corp,SHARES,-,1.52,1.475,-3.59,-0.055,13:00:13,05:00:13,,,20,False,EDITS_ONLY,100
AF.D.ABUAU.CASH.IP,Prodigy Gold NL,SHARES,-,0.051,0.051,0.0,0.0,07:48:36,23:48:36,,,20,False,CLOSED,100
KA.D.SG46LN.CASH.IP,SG GOLD X3 DAILY LONG,SHARES,-,,,0.0,0.0,16:00:00,08:00:00,,,0,False,CLOSED,100
KC.D.SRB.CASH.IP,Serabi Gold PLC,SHARES,-,,,-3.6,-8.5,00:23:29,16:23:29,,,0,False,EDITS_ONLY,1
KC.D.SHG.CASH.IP,Shanta Gold Ltd,SHARES,-,14.78,14.74,0.95,0.14,16:00:00,08:00:00,,,0,False,CLOSED,1
AB.D.SIHAU.CASH.IP,Sihayo Gold Ltd,SHARES,-,,,0.0,0.0,13:00:02,05:00:02,,,0,False,CLOSED,100
AB.D.SNGAU.CASH.IP,Siren Gold Limited,SHARES,-,0.11,0.105,-8.7,-0.01,13:00:13,05:00:13,,,20,False,EDITS_ONLY,100
AB.D.PKAAU.CASH.IP,Tesoro Gold Limited,SHARES,-,0.062,0.054,-9.68,-0.006,13:00:09,05:00:09,,,20,False,EDITS_ONLY,100
AB.D.MSRAU.CASH.IP,Turaco Gold Limited,SHARES,-,0.45,0.425,-3.33,-0.015,12:45:10,04:45:10,,,0,False,EDITS_ONLY,100
UD.D.USGOUS.CASH.IP,US Goldmining Inc,SHARES,-,,,0.0,0.0,03:59:39,19:59:39,,,0,False,EDITS_ONLY,100
AB.D.TRLAU.CASH.IP,WIA Gold Limited,SHARES,-,0.34,0.32,-5.8,-0.02,12:59:43,04:59:43,,,0,False,EDITS_ONLY,100
KC.D.WSBNLN.CASH.IP,Wishbone Gold PLC,SHARES,-,,,-0.9,-0.01,21:37:02,13:37:02,,,0,False,EDITS_ONLY,1
KC.D.AUYLN.CASH.IP,Yamana Gold Inc (LSE),SHARES,-,420.0,420.0,-4.21,-20.0,16:00:00,08:00:00,,,0,False,CLOSED,1
