epic,instrumentName,instrumentType,expiry,high,low,percentageChange,netChange,updateTime,updateTimeUTC,bid,offer,delayTime,streamingPricesAvailable,marketStatus,scalingFactor
MT.D.PL.FWM2.IP,Platinum ($10),COMMODITIES,JAN-26,1589.2,1530.7,-3.06,-48.5,15:32:57,07:32:57,1534.0,1535.5,0,True,TRADEABLE,1
MT.D.PL.FWS2.IP,Platinum ($50),COMMODITIES,JAN-26,1589.2,1530.7,-3.06,-48.5,15:32:57,07:32:57,1534.0,1535.5,0,True,TRADEABLE,1
KA.D.TPTSLN.CASH.IP,GPF Physical Platinum ETC - GBP,SHARES,-,,,0.0,0.0,16:00:00,08:00:00,,,0,False,CLOSED,1
AR.D.IMPSJ.CASH.IP,Impala Platinum Holdings Ltd,SHARES,-,19251.0,18785.0,-1.11,-212.0,15:32:57,07:32:57,,,0,False,TRADEABLE,1
AR.D.NHMSJ.CASH.IP,Northam Platinum Ltd,SHARES,-,26993.0,26000.0,-3.3,-886.0,15:32:56,07:32:56,,,0,False,TRADEABLE,1
KC.D.SLV.CASH.IP,Sylvania Platinum Ltd (LSE),SHARES,-,,,0.0,0.0,00:21:55,16:21:55,,,0,False,EDITS_ONLY,1
AR.D.AMSSJ.CASH.IP,Valterra Platinum Limited,SHARES,-,99999.0,95514.0,-3.05,-3025.0,15:32:57,07:32:57,,,0,False,TRADEABLE,1
KC.D.VALTLN.CASH.IP,Valterra Platinum Limited (Lon),SHARES,-,,,0.0,0.0,00:29:00,16:29:00,,,0,False,EDITS_ONLY,1
AB.D.PMCOAU.CASH.IP,Platinum Capital Ltd @AUD 1.37 EXP 28/03/2024,SHARES,-,,,0.0,0.0,10:22:48,02:22:48,,,20,False,CLOSED,100
AR.D.RBPSJ.CASH.IP,Royal Bafokeng Platinum Limited,SHARES,-,,,0.0,0.0,15:00:00,07:00:00,,,0,False,OFFLINE,1
KA.D.LPLALN.CASH.IP,WisdomTree Platinum 2x Daily L,SHARES,-,,,0.0,0.0,00:29:50,16:29:50,,,0,False,EDITS_ONLY,100
KA.D.XPLALN.CASH.IP,Xtrackers Physical Platinum ETC,SHARES,-,93.73,92.53,-0.98,-0.92,16:00:00,08:00:00,,,0,False,CLOSED,100
AB.D.PAIOAU.CASH.IP,Platinum Asia Investments Ltd @AUD 0.9 EXP 28/03/2024,SHARES,-,,,0.0,0.0,10:22:49,02:22:49,,,20,False,CLOSED,100
