epic,instrumentName,instrumentType,expiry,high,low,percentageChange,netChange,updateTime,updateTimeUTC,bid,offer,delayTime,streamingPricesAvailable,marketStatus,scalingFactor
CS.D.CFDSILVER.CFM.IP,Mini Spot Silver (500oz),CURRENCIES,-,47.242,46.262,-1.37,-0.642,15:32:57,07:32:57,46.331,46.361,0,True,TRADEABLE,100
CS.D.CFDSILVER.BMU.IP,Spot Silver ($1),CURRENCIES,-,4724.2,4626.2,-1.37,-64.2,15:32:57,07:32:57,4633.1,4636.1,0,True,TRADEABLE,1
CS.D.IN_SILVER.MFI.IP,Spot Silver (5000oz),CURRENCIES,-,4723.0,4627.2,-1.37,-64.2,15:32:57,07:32:57,4634.1,4635.1,0,True,TRADEABLE,1
CS.D.CFDSILVER.CFDSI.IP,Spot Silver (5000oz),CURRENCIES,-,47.242,46.262,-1.37,-0.642,15:32:57,07:32:57,46.331,46.361,0,True,TRADEABLE,100
MT.D.SI.FWM3.IP,Silver ($10),COMMODITIES,DEC-25,4723.3,4620.8,-1.12,-52.5,15:32:57,07:32:57,4628.5,4631.5,0,True,TRADEABLE,1
MT.D.SI.FWM2.IP,Silver ($10),COMMODITIES,MAR-26,4779.0,4675.8,-1.13,-53.7,15:32:57,07:32:57,4683.3,4686.3,0,True,TRADEABLE,1
MT.D.SI.FWS3.IP,Silver ($50),COMMODITIES,DEC-25,4723.3,4620.8,-1.12,-52.5,15:32:57,07:32:57,4628.5,4631.5,0,True,TRADEABLE,1
MT.D.SI.FWS2.IP,Silver ($50),COMMODITIES,MAR-26,4779.0,4675.8,-1.13,-53.7,15:32:57,07:32:57,4683.3,4686.3,0,True,TRADEABLE,1
AB.D.SS1AU.CASH.IP,Sun Silver Ltd,SHARES,-,0.905,0.865,-6.43,-0.061,12:52:48,04:52:48,,,0,False,EDITS_ONLY,100
AB.D.MMCAU.CASH.IP,Andean Silver Limited,SHARES,-,1.575,1.47,-8.58,-0.141,12:59:49,04:59:49,,,0,False,EDITS_ONLY,100
KA.D.TAGSLN.CASH.IP,GPF Physical Silver ETC - GBP,SHARES,-,,,0.0,0.0,16:00:00,08:00:00,,,0,False,CLOSED,1
